"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
15909.5152554062,20272.111163929,14118.5697911147,15067.3504734408,12258.1257837752,22948.2209203121,20330.3657817937,13580.7494309195,13522.6400821969,19000.4096776798
15886.9263542765,20218.581662459,13992.3072810598,15036.7788312111,12253.4699355162,22924.7926916752,20296.5977765338,13547.4144899068,13495.0812390166,18875.1594268986
15867.8810612863,20164.9127043389,13864.4291793319,15020.9650050557,12246.316752102,22899.1341879177,20269.6240157131,13517.9676495068,13469.2738706366,18746.4222243734
15841.1329729539,20117.9303672589,13745.5000311855,15005.3776872228,12244.6510841882,22877.0267971749,20249.8935698924,13495.3596006562,13446.2514144741,18624.5545239685
15817.4419478027,20079.8016440135,13631.6979593327,14997.9168470339,12257.0936249596,22860.7298968156,20233.6406642427,13486.2522024352,13431.5032238312,18501.9638345923
15798.1408920448,20041.0310651013,13525.6966018252,15004.6400113986,12261.3841150399,22843.2074124122,20221.8690175692,13487.5206635448,13417.5411274181,18387.8715810951
15777.8672580632,20007.1566119213,13431.1649700295,15014.2452376604,12281.3329007087,22820.1844776265,20213.5398649364,13496.4212226071,13412.3070337786,18276.4342868394
15752.8264085666,19949.6659047924,13269.8498611257,15039.5939654426,12321.3680259654,22788.3843707593,20210.8687256616,13525.4801452175,13407.1423131097,18064.3466942549
15741.6120031348,19929.2658673723,13194.3318290072,15061.2398806285,12339.7591251514,22774.923574086,20210.8960888801,13547.1113874336,13412.7142313977,17963.1381035539
15731.4224531025,19911.2206878575,13123.7854895375,15085.8914525677,12357.3350385379,22770.2764613373,20215.0515157041,13572.6713904626,13421.2348843175,17865.2799867764
29009.9456285741,34022.2187250331,27463.2432428381,32246.9101322339,22580.0690949195,32927.3951519115,36708.5876368468,32400.5010306439,30099.7881813311,27551.7394900888
