"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
11592.524048508,15294.6922065276,13128.9513659633,18551.6632548263,15406.8952113342,19112.5436994527,20121.4159180545,10704.8978718838,11952.8233441051,15246.2908548269
11587.7700782225,15296.053059868,13101.0233284463,18556.4458261631,15425.0382067791,19116.7046628771,20065.2889678364,10693.2990432501,11892.5414482325,15204.7695360437
11590.0478447429,15309.0238719305,13092.5714482298,18571.0455348852,15452.490619217,19123.3833696268,20029.4753585327,10685.0406310622,11834.1762542824,15165.1315522911
11593.2916007566,15326.4754674673,13096.2135280489,18596.758632138,15482.6294224843,19141.7985950881,19991.8923024685,10679.4507483829,11780.9279205061,15132.1193706943
11596.628066851,15352.1211962753,13106.8042269019,18634.4419039448,15523.0431677132,19153.0864960179,19945.632172201,10681.9464754474,11739.2555228011,15100.4705128282
11601.2104605987,15386.617627703,13120.1659840337,18673.3082245448,15572.8197725095,19171.0585882571,19925.2977404067,10688.6107208312,11701.7841363262,15081.1855331189
11606.0280941586,15424.8499144657,13145.0300257937,18718.6363731431,15631.1148089755,19190.4509963139,19910.0431344702,10699.0155160894,11663.9931521076,15062.7461255501
11613.1541547296,15520.4149511321,13201.7116655938,18842.2493924075,15765.0846419638,19235.7673113627,19906.2903340199,10731.1626709067,11611.9133209978,15032.4505129214
11618.7729717704,15576.5838962471,13241.148617544,18904.9187401913,15828.2612314203,19264.8547147862,19914.3333977825,10763.1081397078,11592.2183827624,15019.0364222717
11629.7289075787,15639.8977182203,13290.3410609784,18959.7464994451,15898.1819991825,19295.6852440688,19928.245528418,10797.8590890902,11578.1214312519,15012.3932206582
24093.4933736059,33720.973076042,31692.1886638647,30957.8972575709,31143.4490782799,34360.8915537742,39504.7882678881,24182.4506997832,27735.4689496067,31722.7627724261
