"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
16858.9636238047,15878.2622983818,12901.1706257736,16701.8385092521,18161.3759524862,17183.1716056941,12842.8157029555,29402.1823487365,15980.1744886792,12157.845523753
16867.8455539031,15880.2712650742,12862.5265807399,16654.2430346082,18126.8342847522,17159.4748057064,12849.4989317342,29256.1015676588,15938.3690964149,12146.6771735469
16880.2911029801,15876.756899419,12829.2092627014,16612.958454614,18101.9789996525,17149.1476799088,12856.8099620095,29123.1449330471,15898.8573606229,12133.25484728
16893.6527481842,15868.8481576741,12793.0211975734,16590.1571097942,18071.8801749151,17147.59260339,12863.6730658404,28983.9446579666,15865.2928114506,12119.3052679227
16913.3704535243,15870.0715063569,12764.7798333496,16576.1690987105,18040.0244362349,17147.1091176233,12874.7834159456,28855.551296964,15826.0476822248,12106.9882753774
16935.7457495548,15871.3857004791,12735.8338712572,16563.3564083719,18023.1634310235,17161.2893062334,12897.4882731201,28729.1584364251,15792.7941514128,12091.4387842408
16968.7098080637,15881.5479344917,12716.288782571,16557.6784256926,17995.7176554612,17172.2460922725,12927.2066441666,28607.6351980142,15783.3393850371,12084.758442074
17021.5170973268,15907.2177420651,12692.3125624424,16558.2794132682,17960.7846039908,17212.0397535205,12996.6198156685,28391.2679555088,15783.9619500458,12067.2380027248
17041.9067373072,15925.8761536512,12687.1442265819,16566.7064710701,17942.6879770695,17227.2246335806,13040.9866988696,28290.5383858997,15792.4312816284,12064.4381588057
17083.1395112858,15949.1834394166,12686.3275211358,16577.7444288135,17932.1950037165,17246.3136656682,13087.5055656463,28194.9538900984,15799.8347776034,12061.4168655248
39460.8578814768,30838.5701599944,27440.8047962042,32257.7400111768,36256.9420721632,34484.2391622661,37082.433013205,39646.2864898141,33483.0952447018,27003.4519856024
