"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
18255.0316361105,18530.091308838,10504.3770393832,13233.5690165173,17500.9366050033,14769.8402336785,18785.2445943699,19788.3450448558,13650.1339613639,10688.8401878019
18208.5660446591,18445.9073112227,10463.1092998781,13161.614587847,17487.9242544921,14731.7098841856,18735.6265574876,19717.7584090877,13580.1322582211,10663.88501457
18162.5485178894,18370.4769594369,10424.182338208,13093.8973291437,17472.4372162327,14696.8741631641,18691.4242860505,19651.7189484901,13511.8953603119,10641.9967009156
18104.1399827019,18304.8700952569,10388.6312428641,13034.7368541012,17462.9589848409,14670.1966903013,18655.3337223514,19592.5466724088,13459.7340137707,10630.7270518869
18047.1130091916,18247.2425642296,10355.5412671888,12979.2202971504,17459.5320701534,14661.1239394314,18633.6528312004,19546.4976898544,13417.6874596202,10632.189716588
17997.9115594072,18189.4297445499,10326.494999949,12921.0298164633,17455.4520116358,14660.0624943195,18622.6354262739,19506.4034543771,13373.6297788139,10644.153983452
17943.568755717,18135.570353426,10296.5922132897,12870.7048669404,17451.0395580474,14667.7002516674,18633.3981955517,19457.5323775294,13338.6939803308,10660.6729609513
17862.4124744986,18043.8094864659,10241.5061065033,12779.5378039752,17469.8448198427,14699.4871677093,18674.2062539282,19364.7269771443,13289.3584947867,10707.1692555876
17827.5772616097,18005.2463053674,10214.5292366064,12741.7730564537,17486.5554691266,14716.2713400278,18700.672979653,19325.1981404168,13261.7107409854,10735.326639504
17795.7013871155,17968.2343194297,10190.6190152635,12711.5522895464,17503.8426986976,14735.118512021,18724.6706412502,19289.4457389074,13242.3012702129,10765.4201846489
33962.3200596368,31511.9906471808,22764.2734554643,27000.4600113292,38874.2024394597,32130.1875091035,40847.4129506567,39130.7151721676,30706.4195110787,27530.2723053852
