"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
14380.7132945918,16014.1812032187,12758.534973589,18930.2267730342,15663.7441718534,8916.79798646979,10845.0435630632,11370.1018400333,20242.2638542783,13103.9461575186
14357.3244333933,16000.4925384124,12749.0228852319,18941.710335758,15665.5928554081,8888.09468392363,10819.7348715089,11368.2940793943,20237.5456477388,13080.7627025302
14343.3808640188,15991.2246463441,12737.9292046134,18947.3506337964,15669.8906855078,8863.4587327072,10807.1689697926,11364.1086621715,20247.6923190534,13062.0262537117
14325.8713519674,15983.7144651037,12732.5829820752,18966.2417456728,15679.9492890391,8843.3291979652,10790.4582676054,11366.7250627649,20262.4436971084,13041.3840108165
14320.2521625395,15979.1672309421,12729.0427030329,18978.8808545866,15691.8613804784,8826.31481775745,10784.9676307746,11367.0239447468,20282.2023816105,13031.4408073254
14319.4995058667,15977.9683147564,12725.7046143568,19003.6234394684,15708.0300006749,8814.28254626042,10782.1788439827,11374.5983779911,20304.864454779,13024.5383535804
14321.7344486749,15979.7540693294,12728.0336812103,19031.1121590417,15730.3886974774,8805.82064881103,10782.3300053169,11385.1828676385,20331.6243164455,13023.3548496685
14334.543512411,15993.882467457,12742.2750349546,19098.0524304919,15785.2815004442,8803.87125687871,10798.2234615779,11413.1731872428,20406.4832782068,13039.0230484335
14344.6098942764,16004.5861513042,12753.0708704775,19135.613744981,15817.8394061199,8806.51517412512,10819.4309447111,11436.2391807369,20443.3147919683,13056.8128570343
14362.2724914302,16018.9845828139,12765.7729595217,19175.1638800206,15856.6658478556,8810.72404757822,10832.6443344383,11456.1750866298,20494.8361419626,13068.9439111832
15847.930491768,17453.4369345392,14543.9200890055,21838.0470805556,18548.4611847167,10060.2269624537,12297.1617944397,13074.286107734,23630.0144243286,14789.4742531427
