"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
12188.0046751829,15632.4411085753,12036.0688010101,10921.2452175898,14050.5245376066,10131.7613563745,13479.5951513761,13374.9123602416,14266.46339355,11440.321925718
12155.0553697282,15628.2026477085,12037.9028245577,10901.8572399518,14018.4118347353,10114.9158752989,13450.5156018357,13344.695650277,14245.6845667446,11420.3109409679
12128.6650171408,15624.7677495509,12044.75738742,10887.2397985919,13993.1748747756,10097.2813459262,13422.2989915257,13318.2308120373,14226.7768407163,11403.2373300294
12106.7403064129,15626.8908407929,12056.5986116494,10876.6833623472,13966.9797456878,10086.0336002651,13396.0589865611,13296.4536639197,14212.1679433208,11392.0486320002
12087.8179707276,15630.256513875,12069.3126959857,10869.8786155036,13946.2132412832,10077.405604553,13370.9838398183,13275.8285737873,14198.7543113426,11386.4952033328
12075.2490498428,15639.3186282867,12088.7232389866,10869.2401477086,13926.5569026669,10072.9763481334,13348.4223597462,13259.1116094448,14188.2026434269,11380.0997120316
12065.3278086729,15650.7583797252,12111.846028311,10871.392752195,13910.7626997078,10072.487261307,13328.6740050418,13249.1543299304,14181.3151305518,11377.3042619495
12045.8795347283,15678.5867970019,12167.0011426227,10888.2616452422,13885.9313694213,10075.9815199756,13297.1071253502,13238.7631065741,14175.5095020211,11379.0478769982
12037.4506587949,15695.3115324864,12198.5795849874,10900.2198324836,13878.6516809839,10079.2454744524,13282.7575385414,13235.5638680391,14174.6032388458,11382.3477900226
12027.2528465431,15714.0679324903,12232.7925049605,10915.3904131486,13872.6202386758,10086.7931378652,13268.742850065,13235.2374805919,14174.7577683096,11389.7876816575
12775.1339134306,17824.1504101256,14748.5949735746,12884.2665413216,14710.7635818814,11360.0981688853,13825.2037102319,14709.022845197,15232.0919726308,13020.0996248294
