"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
10450.5835026181,11209.2801416613,10125.9153622531,10963.0372239487,17582.4828238824,16352.385103892,14920.2287351629,15095.6938832741,11377.0307793737,11067.4223840914
10433.7914360196,11187.3028070279,10119.4297776567,10978.3129524745,17572.9288501784,16356.579383525,14924.6595393277,15081.5099695889,11349.4418877567,11043.0602223189
10417.8900887659,11170.1723511566,10111.4460313493,10995.8280179406,17560.5593789981,16347.9190690411,14921.7852472849,15068.8573209642,11325.6574351812,11027.9097707448
10405.2622157304,11153.223570845,10114.3987452176,11017.3623741128,17556.8857105084,16356.4171517709,14931.2533974901,15063.4291310813,11304.3106787623,11012.3479065596
10393.410248634,11142.4446583047,10115.8677914229,11045.6549315359,17555.1795183792,16365.7158717294,14933.3325887588,15059.5718063605,11283.1107346174,11000.478775645
10381.3657521804,11135.7862414358,10123.5073654787,11076.9419383357,17554.7047250538,16374.9090045319,14946.4317421389,15060.9073389499,11265.3261831987,10993.0845304061
10372.7015417415,11133.0420486451,10131.736112784,11112.3093253656,17555.372530398,16384.5814379224,14959.4963642652,15065.1601362133,11248.3582294862,10984.8052147007
10358.5546393203,11133.6763511839,10152.2526772598,11192.6381632946,17564.1386167168,16409.4147095254,14996.0989900393,15084.1250305887,11222.904204922,10979.5921014813
10354.9984188561,11131.2642603119,10168.3120657986,11240.1411372689,17571.9167074823,16423.8754298147,15010.0646223464,15098.1245459271,11211.7045968934,10977.233928001
10351.1838702235,11129.4941677947,10180.0511596232,11290.1043432708,17585.5302218604,16453.618423546,15024.5638578917,15113.8698743174,11200.934459794,10980.9672431815
11402.3032205229,12149.3638296639,11712.9623180035,14929.3895272469,18998.1933381907,18525.6904181985,16783.8945566583,16923.139987499,11837.8907407245,12257.0815689057
