"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
18082.561900528,9757.49790441897,12373.3828456028,10520.0080029817,15682.1529703365,10071.4101285801,14582.2337729239,16535.527609846,16601.5421121998,16252.5668773218
18073.7004212316,9726.75166618026,12340.7526654988,10498.4985029193,15657.868121335,10048.2805905516,14559.3279302847,16508.8366793028,16594.4297885714,16237.0335237416
18062.2901398484,9704.83752599523,12309.5705727566,10479.4906215053,15640.007648801,10030.2299354384,14538.4982355699,16488.4815711798,16592.8437798471,16216.9289640533
18062.2791027402,9684.440547456,12286.6041437731,10467.0033176281,15627.7386958757,10014.9354976064,14526.2720821149,16479.3012872738,16595.1220901298,16206.9721100794
18059.0273551262,9672.97010715034,12266.9939403016,10461.8195858631,15623.4957197722,10007.3339646772,14518.2510660994,16476.969503426,16598.8721293289,16200.4868136623
18069.8554430469,9665.66310849077,12251.8045470234,10460.6105388948,15629.6069462417,10004.6319948299,14514.9618012168,16478.3268819978,16607.0052767646,16193.0020460704
18087.1501088471,9661.0745789333,12241.2736685437,10467.0331182688,15639.3249143957,10006.7062405331,14517.6564015502,16486.9558547117,16617.0547340678,16195.0935640731
18135.4275540675,9655.68719378854,12225.2132601258,10491.30888676,15670.7201933911,10017.2892120603,14532.3415129539,16515.8177368594,16642.8939041983,16208.071366266
18170.5824856021,9659.80740250791,12218.651539411,10508.3991279662,15693.9949244677,10026.1300492569,14541.9342872378,16538.4200286863,16657.3664598363,16221.7703353867
18200.5875283395,9660.98365104075,12215.7228499303,10527.4076863898,15719.3416182619,10036.9728880962,14557.5197475297,16566.6031178399,16673.455680016,16229.0143340198
20788.3341600483,10670.4033186913,13408.7067136106,12549.6222371958,18051.6833476535,11542.2639918993,16326.3876675285,18679.7299109977,18346.3383722383,17656.6750804997
