"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
9808.72642580744,10992.3083224863,15553.5240420975,11063.1157063582,14319.2419297491,10554.597269112,10891.9896340293,17581.660575334,12767.0893387454,10130.5479114739
9797.81379582664,10984.1796368973,15538.4462516963,11031.0658907853,14297.9522369345,10532.0570021958,10875.5623714248,17553.7238546062,12740.881393677,10100.6296341835
9789.06623591029,10978.8369591856,15531.4404078339,11003.0115790289,14276.9489126277,10512.3349511316,10862.9247606002,17529.3714814581,12717.9395579774,10073.6061456869
9786.91665522688,10976.8599688359,15524.1310008609,10976.5123368169,14260.9416702853,10496.6010432687,10854.1944657972,17507.1563081021,12700.7606002015,10048.847406172
9787.55924237208,10978.998198346,15524.9287352111,10950.7823578126,14246.6286719096,10485.9674791198,10850.0164789878,17489.4456273523,12687.8610513736,10028.5836781539
9792.75761672809,10980.9993980845,15530.6592494477,10930.0693789777,14237.8735082886,10481.0935818405,10850.2259379574,17471.2551672779,12679.6501721625,10011.1742079639
9800.82915344053,10985.3470595606,15539.8395493269,10911.6401568815,14231.8831506104,10479.8299261018,10853.6292765705,17455.2199753043,12676.295848829,9996.52736092457
9819.94174421785,11002.806573197,15567.4709475892,10882.2149795323,14230.0016909329,10486.8858317782,10869.162242935,17431.0997863132,12682.9219267818,9973.23630808631
9832.33320908901,11016.090945171,15583.552834888,10868.7634369525,14235.1587824481,10492.0559298428,10881.4528674988,17421.5740468623,12691.1623584339,9964.27785544029
9847.6438191373,11032.9433233499,15600.0185281433,10856.5453926204,14243.4277671585,10497.991934813,10896.3727978643,17417.1897547417,12705.1150721893,9958.56226908341
11298.3953264131,12767.7505458908,17453.6074836563,11554.1178129837,15851.1054214219,11642.089602623,13202.0905446042,18419.2427566203,14855.7455867262,10770.5908270456
